name	description	address	lat	long
Bamboo Garden Restaurant	chinese	8911 Cornerstone Mews, Burnaby, BC V5A 4Y6	49.277859	-122.912081
Bubble World	bubble tea	8888 University Dr W, Burnaby, BC V5A 1S6	49.278822	-122.919038
Cafe Artigiano	cafe	104-2999 Underhill Ave, Burnaby, BC V5A 3C2	49.258448	-122.928242
Caliburger SFU	burgers	8901 Cornerstone Mews, Burnaby, BC V5A 4Y6	49.277952	-122.912397
Cockney Kings Fish & Chips	fish and chips	6574 Hastings St, Burnaby, BC V5B 1S1	49.280136	-122.966562
Gawon Korean Cuisine	korean	8888 University Dr W, Burnaby, BC V5A 1S6	49.278754	-122.918938
Guadalupe Handmade Burritos	tex-mex	8888 University Dr W, Burnaby, BC V5A 1S6	49.278578	-122.91877
Hanano Sushi & Grill	japanese	555 Clarke Rd, Coquitlam, BC V3J 3X4	49.261742	-122.890978
Horizons Restaurant	casual dining	100 Centennial Way, Burnaby, BC V5A 2X9	49.283079	-122.934657
IHOP	pancakes	173-9855 Austin Ave, Burnaby, BC V3J 1N4	49.251569	-122.896688
japarrito	japanese mexican fusion	8910 University High St, Burnaby, BC V5A 4X6	49.278121	-122.912069
McDonald's	burgers	531 Clarke Rd, Coquitlam, BC V3J 3X4	49.260856	-122.891693
Megabite Pizza	Pizza	3292 Production Way #160, Burnaby, BC V5A 4R4	49.254071	-122.918596
Noodle Waffle Cafe	chinese	8888 University Dr W, Burnaby, BC V5A 1S6	49.278805	-122.918973
Pasta Polo Express	pasta takeout	8888 University Dr W, Burnaby, BC V5A 1S6	49.278756	-122.918918
Red Robin Gourmet Burgers and Brews	casual dining	9628 Cameron St, Burnaby, BC V3J 1M2	49.252641	-122.898158
Starbucks	coffee shop	8888 University Dr, Burnaby, BC V5A 1S6	49.280935	-122.924914
Subway	sandwiches	2900 Bainbridge Ave, Burnaby, BC V5A 2S8	49.258459	-122.955412
Sushi Town	japanese	5935 Hastings St, Burnaby, BC V5B 1R7	49.280495	-122.97781
Tim Hortons	coffee shop	3433 North Rd Unit 101, Burnaby, BC V3J 1A2	49.252262	-122.893416
White Spot	casual dining	6500 Hastings St, Burnaby, BC V5B 1S2	49.280151	-122.969798